segment_onset,segment_offset,speaker_type,lena_speaker,words,lena_block_number,lena_block_type,lena_conv_status,lena_response_count,lena_conv_turn_type,lena_conv_floor_type,utterances_count,utterances_length,average_db,peak_db,utterances,non_speech_length,child_cry_vfx_len,cries,vfxs
32604040,32605180,NA,TVN,0.0,767,pause,NA,NA,NA,NA,0.0,0,-31.18,-16.61,[],0,0,[],[]
32605180,32608640,NA,TVN,0.0,767,pause,NA,NA,NA,NA,0.0,0,-32.47,-23.03,[],0,0,[],[]
32608640,32609630,OCH,CXN,0.0,767,XM,BC,0,NT,FI,0.0,0,-31.94,-16.88,[],0,0,[],[]
32609630,32610430,OCH,CXN,0.0,767,XM,RC,0,NT,FH,0.0,0,-30.82,-22.07,[],0,0,[],[]
32610430,32611230,OCH,CXN,0.0,767,XM,EC,0,NT,FH,0.0,0,-35.28,-28.46,[],0,0,[],[]
32611230,32613690,NA,OLN,0.0,768,pause,NA,NA,NA,NA,0.0,0,-30.25,-14.38,[],0,0,[],[]
32613690,32614500,NA,NOF,0.0,768,pause,NA,NA,NA,NA,0.0,0,-42.15,-31.55,[],0,0,[],[]
32614500,32615160,NA,TVF,0.0,768,pause,NA,NA,NA,NA,0.0,0,-32.91,-16.5,[],0,0,[],[]
32615160,32616030,NA,OLN,0.0,768,pause,NA,NA,NA,NA,0.0,0,-30.46,-12.65,[],0,0,[],[]
32616030,32616840,NA,OLF,0.0,768,pause,NA,NA,NA,NA,0.0,0,-39.91,-26.23,[],0,0,[],[]
32616840,32617640,NA,TVN,0.0,768,pause,NA,NA,NA,NA,0.0,0,-30.46,-24.02,[],0,0,[],[]
32617640,32618680,OCH,CXN,0.0,768,XM,EC,0,NT,FI,0.0,0,-34.01,-23.07,[],0,0,[],[]
32618680,32619480,NA,NOF,0.0,769,pause,NA,NA,NA,NA,0.0,0,-46.8,-34.38,[],0,0,[],[]
32619480,32620290,NA,SIL,0.0,769,pause,NA,NA,NA,NA,0.0,0,-52.37,-41.03,[],0,0,[],[]
32620290,32622600,NA,NOF,0.0,769,pause,NA,NA,NA,NA,0.0,0,-22.15,-3.24,[],0,0,[],[]
32622600,32623230,CHI,CHN,0.0,769,pause,NA,NA,NA,NA,0.0,0,-29.13,-15.08,[],0,100,[],"[{'start': 32622.79, 'end': 32622.89}]"
32623230,32626860,NA,NOF,0.0,769,pause,NA,NA,NA,NA,0.0,0,-40.97,-23.19,[],0,0,[],[]
32626860,32627660,OCH,CXN,0.0,769,XIOCC,BC,0,NT,FI,0.0,0,-34.58,-24.15,[],0,0,[],[]
32627660,32628460,NA,OLF,0.0,769,XIOCC,NA,NA,NA,NA,0.0,0,-32.07,-20.57,[],0,0,[],[]
32628460,32629270,NA,NOF,0.0,769,XIOCC,NA,NA,NA,NA,0.0,0,-42.25,-36.68,[],0,0,[],[]
32629270,32630280,NA,TVN,0.0,769,XIOCC,NA,NA,NA,NA,0.0,0,-39.63,-27.84,[],0,0,[],[]
32630280,32631080,OCH,CXN,0.0,769,XIOCC,RC,0,NT,FH,0.0,0,-24.59,-12.95,[],0,0,[],[]
32631080,32631680,CHI,CHN,0.0,769,XIOCC,NA,NA,NA,NA,0.0,0,-24.55,-14.74,[],0,210,[],"[{'start': 32631.08, 'end': 32631.29}]"
32631680,32633190,NA,NOF,0.0,769,XIOCC,NA,NA,NA,NA,0.0,0,-43.13,-26.88,[],0,0,[],[]
32633190,32633990,NA,SIL,0.0,769,XIOCC,NA,NA,NA,NA,0.0,0,-53.31,-40.88,[],0,0,[],[]
32633990,32634590,CHI,CHN,0.0,769,XIOCC,EC,0,NT,FI,1.0,520,-31.74,-22.94,"[{'Canonical-syllable': '0', 'Growl': '0', 'High-freq-energy': '0', 'Long-island': '0', 'Low-tilt-spectrum': '1', 'Medium-island': '1', 'Short-island': '0', 'Squeal': '1', 'Typical-entropy': '1', 'Voicing-quality': '1', 'Wide-band': '0', 'Xlong-island': '0', 'seq': '1', 'end': 32634.51, 'start': 32634.1}]",0,0,[],[]
32634590,32635390,NA,OLN,0.0,770,pause,NA,NA,NA,NA,0.0,0,-19.03,-4.56,[],0,0,[],[]
32635390,32636510,NA,TVN,0.0,770,pause,NA,NA,NA,NA,0.0,0,-37.17,-27.18,[],0,0,[],[]
32636510,32640950,NA,OLN,0.0,770,pause,NA,NA,NA,NA,0.0,0,-21.23,-3.73,[],0,0,[],[]
32640950,32641780,CHI,CHN,0.0,770,CM,BC,0,NT,FI,2.0,400,-18.07,-5.98,"[{'Canonical-syllable': '0', 'Growl': '0', 'High-freq-energy': '0', 'Long-island': '0', 'Low-tilt-spectrum': '0', 'Medium-island': '0', 'Short-island': '1', 'Squeal': '1', 'Typical-entropy': '1', 'Voicing-quality': '1', 'Wide-band': '0', 'Xlong-island': '0', 'seq': '1', 'end': 32641.13, 'start': 32640.95}, {'Canonical-syllable': '0', 'Growl': '0', 'High-freq-energy': '0', 'Long-island': '0', 'Low-tilt-spectrum': '1', 'Medium-island': '0', 'Short-island': '1', 'Squeal': '0', 'Typical-entropy': '1', 'Voicing-quality': '1', 'Wide-band': '0', 'Xlong-island': '0', 'seq': '2', 'end': 32641.78, 'start': 32641.56}]",0,0,[],[]
32641780,32645800,NA,OLN,0.0,770,CM,NA,NA,NA,NA,0.0,0,-27.99,-9.47,[],0,0,[],[]
32645800,32646720,NA,NON,0.0,770,CM,NA,NA,NA,NA,0.0,0,-26.07,-13.16,[],0,0,[],[]
