segment_onset,segment_offset,speaker_type
4442734,4447012,NA
4442992,4445511,FEM
4444991,4445639,CHI
4446046,4446785,CHI
4448677,4453517,CHI
4448712,4454991,NA
4453682,4454038,OCH
4454151,4454510,FEM
4455960,4459117,NA
4456011,4457803,FEM
4457992,4459123,CHI
4464362,4466991,FEM
4464389,4467435,NA
4466853,4466990,OCH
4470137,4473492,NA
4470162,4473412,FEM
4475491,4483991,NA
4475530,4476429,CHI
4476011,4483952,FEM
4478250,4479254,MAL
4485011,4486992,NA
4485137,4486948,FEM
4487100,4489781,FEM
4487101,4525760,NA
4490054,4491991,FEM
4491909,4492047,OCH
4492667,4502492,FEM
4501678,4502422,MAL
4503492,4504511,FEM
4503700,4503808,MAL
4505436,4506553,MAL
4505579,4510817,FEM
4506945,4507551,MAL
4508833,4508980,MAL
4509498,4509884,MAL
4511094,4515090,FEM
4511130,4511650,CHI
4511950,4513401,MAL
4514754,4516106,CHI
4515202,4516262,FEM
4516493,4518828,FEM
4519511,4525394,FEM
4522736,4522989,MAL
4523374,4525062,MAL
4526012,4533042,NA
4526493,4532953,FEM
4533683,4538492,NA
4533992,4534351,CHI
4534491,4538492,FEM
4539512,4552129,NA
4539512,4546024,FEM
4540978,4542510,MAL
4546010,4546758,OCH
4546052,4546768,CHI
4546992,4547400,CHI
4547011,4552114,FEM
4552489,4564116,NA
4552492,4554389,FEM
4555023,4559718,FEM
4556191,4556323,MAL
4559512,4561756,MAL
4561949,4563812,FEM
4564988,4580493,NA
4565054,4567185,CHI
4565992,4567386,FEM
4567492,4567597,FEM
4567705,4577336,FEM
4569976,4570511,CHI
4577511,4577678,FEM
4577821,4580367,FEM
4581011,4590755,NA
4581311,4582713,FEM
4583329,4585305,FEM
4585906,4586951,CHI
4586031,4588010,FEM
4588010,4588658,OCH
4589011,4590749,FEM
4591011,4593730,NA
4591080,4593733,FEM
4595992,4603768,FEM
4596011,4604612,NA
4608492,4612022,FEM
4608492,4613337,NA
4612694,4613831,OCH
4616322,4616803,NA
4616992,4620213,NA
4617498,4619724,FEM
4620373,4630110,NA
4620993,4622512,FEM
4623487,4629493,FEM
4630384,4630492,NA
4632663,4632992,NA
4632760,4632988,MAL
4637159,4649493,NA
4637231,4638492,FEM
4638781,4639012,OCH
4639499,4649430,FEM
4651493,4654220,NA
4651511,4654191,FEM
4656405,4661844,NA
4656509,4656614,OCH
4657510,4657815,CHI
4659491,4660011,OCH
4660511,4660926,FEM
4660747,4660874,OCH
4662407,4670011,NA
4662510,4669511,FEM
4668749,4669011,CHI
4672384,4678727,NA
4672477,4673012,CHI
4673074,4677510,OCH
4674011,4674708,CHI
4677991,4678565,FEM
4680681,4689491,NA
4681010,4684863,FEM
4683948,4684454,MAL
4684981,4686512,CHI
4685587,4686011,OCH
4686456,4686826,FEM
4687492,4689034,CHI
4688012,4689084,OCH
4691512,4691828,FEM
4691530,4691906,NA
4695492,4695642,OCH
4699011,4699333,FEM
4699011,4699747,NA
4701748,4703434,NA
4702011,4703142,FEM
4702744,4702850,MAL
4704991,4707227,FEM
4704991,4713511,NA
4707948,4711510,MAL
4707992,4709492,FEM
4711095,4713491,FEM
4716510,4716750,NA
4718449,4722700,NA
4718476,4721009,CHI
4720587,4721959,FEM
4721789,4722508,CHI
4723851,4724637,NA
4723863,4724627,CHI
4731197,4734650,NA
4731391,4732515,FEM
4733397,4733993,OCH
4733809,4734511,FEM
4738925,4740312,FEM
4738932,4740491,NA
4741271,4753510,NA
4741370,4746247,CHI
4746887,4748547,FEM
4748681,4749012,FEM
4749140,4751087,MAL
4750993,4753511,FEM
4751882,4752410,MAL
4756992,4759333,OCH
4757010,4776604,NA
4758991,4759212,CHI
4759185,4762492,FEM
4760016,4760492,OCH
4761688,4761845,OCH
4762719,4763770,FEM
4763973,4765072,OCH
4764719,4766493,CHI
4766492,4769092,FEM
4769317,4769903,FEM
4770100,4770729,CHI
4771060,4771511,FEM
4771511,4772861,CHI
4772993,4775492,FEM
4775357,4776025,MAL
4776148,4776295,MAL
4776452,4776579,MAL
4777280,4783011,NA
4777294,4777991,MAL
4777512,4779493,FEM
4779992,4781755,OCH
4780164,4782911,CHI
4784010,4787015,NA
4784255,4785330,OCH
4786012,4787011,FEM
4787512,4789419,OCH
4787961,4791150,NA
4789527,4789979,FEM
4789765,4790654,CHI
4791877,4797510,NA
4791992,4794511,FEM
4795511,4796993,FEM
4796261,4796570,OCH
4814011,4824639,NA
4814179,4821017,CHI
4818012,4818511,OCH
4819011,4819364,FEM
4819156,4819274,OCH
4820681,4820993,FEM
4821356,4821849,OCH
4822060,4822907,OCH
4822909,4824510,FEM
4825379,4857890,NA
4825492,4828992,FEM
4830011,4837510,CHI
4835992,4839494,FEM
4837744,4838011,CHI
4839139,4840511,CHI
4839684,4841010,FEM
4840624,4842511,OCH
4842779,4844684,CHI
4845695,4847151,FEM
4847011,4853010,CHI
4847045,4847322,OCH
4848525,4848670,OCH
4850012,4851993,OCH
4853586,4854992,FEM
4854511,4855230,OCH
4855513,4856011,OCH
4856011,4857557,CHI
4856190,4856306,OCH
4858358,4858601,NA
4858772,4859000,NA
4859212,4859664,NA
4859337,4859511,OCH
4860511,4891176,NA
4860992,4861677,FEM
4861991,4863491,FEM
4863976,4864096,FEM
4864011,4867028,OCH
4864247,4865511,CHI
4866600,4867412,CHI
4868011,4870512,FEM
4870510,4874985,CHI
4874254,4874386,FEM
4874511,4877493,FEM
4877017,4877336,OCH
4877874,4879013,FEM
4879138,4880527,CHI
4880380,4884597,FEM
4884514,4886492,CHI
4885795,4888402,FEM
4886656,4886992,CHI
4887594,4888396,CHI
4889199,4890527,CHI
4896192,4899594,NA
4896342,4899511,FEM
4902010,4910436,NA
4902250,4902898,CHI
4902613,4910025,FEM
4908647,4909033,MAL
4910898,4918127,NA
4910951,4912753,MAL
4912491,4918088,FEM
4913528,4914011,MAL
4918840,4919981,NA
4920011,4920165,OCH
4921012,4927011,NA
4922011,4926559,FEM
4932492,4938959,FEM
4932492,4938992,NA
4941089,4941226,NA
4943791,4947046,NA
4943994,4945147,OCH
4947202,4950145,NA
4947249,4949421,CHI
4950511,4952315,NA
4950855,4952316,FEM
4957991,4959491,NA
4958012,4959355,FEM
4962011,4962725,NA
4962047,4962614,OCH
4962909,4967516,NA
4963012,4964396,OCH
4963214,4963511,FEM
4964829,4967262,FEM
4969058,4970114,OCH
4969105,4970112,NA
4971328,4977673,NA
4971434,4973601,FEM
4973051,4973604,MAL
4974731,4975244,FEM
4974991,4976606,CHI
4975992,4977992,OCH
4978780,4982511,NA
4978992,4982215,CHI
4979770,4979893,OCH
4981510,4982145,FEM
4984856,4988511,NA
4985115,4986349,FEM
4985197,4985303,OCH
4986012,4988511,CHI
4992491,4994011,NA
4992492,4993992,CHI
4997756,4998512,OCH
4998011,4998374,NA
4998869,4999473,NA
4998930,4999311,OCH
5000500,5002012,OCH
5000765,5003492,NA
5001072,5002014,CHI
5002012,5003011,FEM
5004992,5011992,NA
5005253,5007155,CHI
5007493,5011501,FEM
5009121,5009398,CHI
5009128,5009413,OCH
5013959,5016510,OCH
5014185,5017850,NA
5022908,5023492,NA
5024361,5025028,NA
5024492,5024637,OCH
5027535,5031615,NA
5027601,5030026,CHI
5028510,5031657,OCH
5034992,5036011,OCH
5035817,5035992,NA
5037409,5044625,NA
5037491,5038613,CHI
5038556,5039158,FEM
5039796,5044609,CHI
5042733,5042908,FEM
5062377,5070658,NA
5062844,5067993,CHI
5069670,5069910,CHI
5070122,5070301,OCH
5070511,5070644,OCH
5070938,5071510,OCH
5079738,5083012,NA
5080136,5083012,CHI
5098498,5099765,NA
5098575,5100593,OCH
