segment_onset,segment_offset,speaker_type
964205,970074,NA
964366,966511,OCH
964373,966492,CHI
966450,969368,FEM
967992,968913,OCH
969379,970029,CHI
970692,973303,NA
970777,971493,FEM
972854,973227,FEM
974282,975578,NA
974325,975511,OCH
974368,975470,CHI
977054,977160,NA
977415,978741,NA
977493,978992,OCH
981381,982453,OCH
981491,984012,NA
982765,984567,MAL
984493,989478,NA
985011,985219,CHI
985114,985865,MAL
985217,985452,FEM
985998,988053,CHI
987512,989375,OCH
989786,990706,NA
989908,990254,FEM
989974,990786,OCH
991492,992768,OCH
991536,992545,NA
997010,999607,MAL
997623,1005492,NA
999547,1001469,CHI
1001013,1003227,MAL
1003138,1005453,CHI
1008987,1011493,NA
1008992,1010492,CHI
1009328,1011512,OCH
1011511,1016204,MAL
1011693,1022010,NA
1015511,1015754,FEM
1016992,1020104,CHI
1017286,1017588,OCH
1020450,1020992,CHI
1020511,1020958,OCH
1021103,1021363,OCH
1021484,1021599,OCH
1026478,1029514,MAL
1026638,1029100,NA
1030001,1034647,NA
1030334,1030726,CHI
1030492,1034993,MAL
1035636,1039011,NA
1035659,1036844,CHI
1036098,1039502,MAL
1038130,1038493,FEM
1042991,1051140,NA
1043133,1043511,CHI
1043511,1047492,MAL
1047492,1049402,CHI
1047539,1049869,OCH
1049593,1049709,MAL
1049856,1051041,MAL
1050492,1051010,FEM
1053344,1054510,OCH
1053486,1056495,NA
1054021,1056512,MAL
1058226,1059303,OCH
1058434,1059170,NA
1059893,1060840,NA
1059959,1060511,OCH
1063405,1064762,OCH
1063508,1064510,NA
1068589,1068700,FEM
1076424,1082367,CHI
1076463,1082379,NA
1095118,1097283,NA
1095491,1097217,CHI
1097909,1101724,NA
1097990,1099011,OCH
1098078,1101645,CHI
1105604,1107511,NA
1105645,1107511,CHI
1111615,1112315,NA
1114574,1115011,NA
1115115,1115277,MAL
1115176,1115277,NA
1116511,1116818,MAL
1116511,1121492,NA
1117041,1118011,CHI
1118500,1121497,FEM
1119395,1119511,MAL
1122982,1127010,NA
1123492,1124012,OCH
1123829,1126991,FEM
1129795,1138283,NA
1129992,1131492,CHI
1131867,1133836,FEM
1135205,1135490,MAL
1135510,1138011,FEM
1138980,1140492,OCH
1138990,1144231,NA
1140785,1142673,FEM
1145273,1165493,NA
1145585,1148493,CHI
1148621,1149520,CHI
1148992,1149490,OCH
1151493,1153012,FEM
1152993,1153231,OCH
1152996,1155495,CHI
1153386,1153573,OCH
1153707,1153992,OCH
1155394,1158011,OCH
1155646,1155921,CHI
1157492,1164993,CHI
1164070,1165299,OCH
1165636,1168064,OCH
1165656,1169993,NA
1166149,1169512,CHI
1168322,1168992,OCH
1171127,1173592,NA
1172011,1172689,FEM
1172887,1172992,OCH
1175352,1177139,NA
1175492,1176526,OCH
1175573,1176476,CHI
1176876,1176992,OCH
1179115,1187200,NA
1179466,1180011,CHI
1179492,1180518,OCH
1180003,1180324,FEM
1181026,1181310,FEM
1181579,1181992,OCH
1182158,1182511,OCH
1182862,1184011,FEM
1183859,1187011,OCH
1187492,1197992,NA
1187511,1190012,FEM
1190180,1195011,OCH
1191038,1191165,CHI
1191409,1191836,CHI
1192534,1193552,CHI
1194492,1197626,FEM
1199011,1205152,NA
1199294,1201010,FEM
1201144,1201753,CHI
1201811,1205068,FEM
1206971,1208495,OCH
1206993,1210412,NA
1208512,1209992,FEM
1211325,1216637,NA
1211637,1211740,FEM
1212011,1213874,OCH
1214406,1216691,FEM
1218011,1220011,FEM
1218011,1221761,NA
1220493,1221585,OCH
1220577,1221338,CHI
1222511,1225010,NA
1222557,1223230,CHI
1223476,1225010,FEM
1227327,1230491,NA
1227504,1230305,FEM
1227752,1227887,OCH
1228011,1228338,OCH
1232400,1235530,NA
1232402,1235539,FEM
1238956,1240993,NA
1238993,1240061,CHI
1239015,1240134,OCH
1240247,1240660,OCH
1251011,1256396,NA
1251248,1253133,FEM
1254121,1255051,OCH
1254292,1254493,CHI
1256931,1262188,NA
1257491,1257942,CHI
1258112,1258321,CHI
1259256,1260491,OCH
1259324,1259520,CHI
1261416,1261522,OCH
1263620,1263968,OCH
1263627,1272993,NA
1266165,1268448,CHI
1267512,1270789,OCH
1271278,1272513,CHI
1272011,1272512,OCH
