recording_filename,segment_onset,segment_offset,child_id,duration_its,voc_dur_chi,voc_chi,avg_voc_dur_chi,wc_fem,wc_mal,wc_adu,5s_CTC,CVC,speechlike_pitch,nonspeechlike_pitch
20180530_181655_022873.wav,16289000,16409000,3321,120000,2290.0,3,763.3333333333334,112.07,0.0,112.07,2,3.0,"[771.5013117881035, 321.84276967399677, 335.3322871079737]",[]
20180530_181655_022873.wav,18264000,18384000,3321,120000,26500.0,15,1766.6666666666667,12.0,0.0,12.0,0,5.0,"[353.9472948638699, 383.90653095441763, 461.66643777871866, 487.9621392335201]","[425.2493106285865, 378.5673519699834, 453.91712196213393, 469.96363137438124, 390.8080339238309, 478.83353659057883, 376.3633379007422, 403.76874633310047, 422.9934866883586, 406.52815078536213, 330.3784541765665]"
20180530_181655_022873.wav,28611000,28731000,3321,120000,8950.0,9,994.4444444444443,0.0,0.0,0.0,0,2.0,"[523.3443510575054, 496.56263571387655]","[nan, nan, nan, 437.26496625579, 636.5110362651867, 481.03184769110385, 371.20685410682023]"
20180530_181655_022873.wav,36581000,36701000,3321,120000,4340.0,6,723.3333333333334,44.120000000000005,0.0,44.12,2,2.0,"[450.46096762285146, 394.77372011076943]","[nan, nan, nan, 634.3936644192687]"
20180530_181655_022873.wav,39778000,39898000,3321,120000,21440.0,20,1072.0,19.99,0.0,19.99,1,7.0,"[415.8453934098593, 443.7673137262291, 542.19040187686, 524.1762084843049, 576.2059224318677, 556.9390709831006, 443.7258748377]","[529.0623701949454, 527.4300004749529, 388.60879502848684, 468.77977109768744, 477.07341787666155, 447.53067937505796, 485.03860085322464, 411.8097160538616, 460.2644029621052, 414.5090083052119, 404.7601700853929, 548.1849876239887, 516.5926942659775]"
20180808_110630_024879.wav,1639000,1759000,3501,120000,8580.0,10,858.0,53.6,7.91,61.510000000000005,6,11.0,"[348.05685132253325, 377.6948488662549, 379.9542168665548, 339.82723155478186, 379.60623224868846, 366.17226174188613, 353.9504251044896, 255.75396907686687, 429.23161462410906]",[238.16168762854159]
20180808_110630_024879.wav,2072000,2192000,3501,120000,720.0,1,720.0,3.56,0.0,3.56,0,1.0,[313.29026002592644],[]
20180808_110630_024879.wav,2202000,2322000,3501,120000,3330.0,4,832.5,26.44,0.0,26.44,0,0.0,[],"[666.2727272442077, 611.4418913024085, 669.8925512184418, 535.7573974520349]"
20180808_110630_024879.wav,5817000,5937000,3501,120000,3910.0,5,782.0,35.620000000000005,0.0,35.620000000000005,2,4.0,"[303.20184826607556, 324.47262674118105, 317.4528920781608, 380.8827445123044]",[447.0611479212766]
20180808_110630_024879.wav,6620000,6740000,3501,120000,6250.0,9,694.4444444444445,62.99,0.0,62.99000000000001,1,6.0,"[331.3080948909986, 366.66589443219107, 364.41064901925444, 413.9178815681342, 295.1962843187808, 566.36709141716]","[643.3090141359023, 413.2881349941365, 353.56133210711374]"
20180808_110630_024879.wav,6837000,6957000,3501,120000,8210.0,11,746.3636363636364,35.55,0.0,35.55,2,11.0,"[450.3592611924398, 324.42532771921714, 357.88791982818316, 302.9514170562267, 330.35986797692414, 288.92354185056865, 336.41862317944936, 324.4120130243006, 325.5681376463304, 281.312699148726]",[346.25243915514716]
20180808_110630_024879.wav,7296000,7416000,3501,120000,14200.0,13,1092.3076923076924,118.63,4.09,122.72,8,14.0,"[470.46265758563334, 456.6040960267527, 435.8713653686041, 287.3221278728743, 303.37937393476113, 405.2329977569756, 341.9425206249517, 534.7638665056844, 382.283751271214, 376.2546331530641, 278.36236318205744]","[375.8575399244922, 520.6538406974164]"
20180808_110630_024879.wav,9384000,9504000,3501,120000,16540.0,18,918.8888888888888,19.48,0.0,19.48,1,10.0,"[311.78770085376954, 307.6666319129276, 420.5853790015196, 301.89519033317094, 491.44821165471114, 321.9587360362202, 516.729249241186, 377.22087780457]","[521.2818401530818, 305.6627429742697, 341.18162886721746, 471.9128340525188, 286.1591928760196, 376.20156690824007, 291.0402584395033, 392.67618383704956, 359.56873526382765, 301.3464248154418]"
20180808_110630_024879.wav,14868000,14988000,3501,120000,0.0,0,,0.0,0.0,0.0,0,0.0,[],[]
20180808_110630_024879.wav,16289000,16409000,3501,120000,0.0,0,,0.0,0.0,0.0,0,0.0,[],[]
20180808_110630_024879.wav,18264000,18384000,3501,120000,0.0,0,,0.0,0.0,0.0,0,0.0,[],[]
20180808_110630_024879.wav,28611000,28731000,3501,120000,47930.0,34,1409.7058823529412,8.84,11.94,20.78,1,4.0,"[508.5963148285596, 447.18818115153323, 346.29359837794254, 412.9809259305796]","[402.7622996823337, 495.716844391302, 255.8213783445581, 458.9098194158739, 491.33262583541455, 455.7429408226171, 724.3017989353533, 559.7910481157367, 443.79424930004285, 458.5620613980685, 443.8563659095139, 355.9368863110025, 585.082298999379, 425.26721424749985, 503.0186715909862, 424.71199882397053, 396.3614720975533, 298.9192609107, 468.94486106375564, 400.17953463077146, 506.34321763298016, 415.1617134770682, 540.6664769349345, 450.1775998614685, 412.87114354425466, 419.7202525236418, 412.91498184200043, 355.9975698870725, 545.8846979477609, 412.02314566809395]"
20180808_110630_024879.wav,36581000,36701000,3501,120000,0.0,0,,0.0,4.58,4.58,0,0.0,[],[]
20180808_110630_024879.wav,39778000,39898000,3501,120000,21050.0,18,1169.4444444444443,40.19,14.43,54.620000000000005,1,10.0,"[547.0485816410542, 499.6946350350114, 471.42329622335063, 336.23080662156997, 356.0424587086932, 359.39167531931736, 704.9600832707447, 398.4832575658679]","[571.625560625711, 541.377602970431, 483.0558726279204, 406.8110810491962, 431.88237963652483, 401.2152192648758, 371.91465765017045, 691.5719637851298, 573.9915373464361, 403.1845458958939]"
20180808_110630_024879.wav,41905000,42025000,3501,120000,5170.0,6,861.6666666666666,69.8,13.21,83.01,4,5.0,"[427.7264361705251, 334.9553010748841, 392.7060470171848, 365.3163858218036, 383.5290935791376]",[380.8344055273949]
20180808_111213_024881.wav,1639000,1759000,2761,120000,5970.0,4,1492.5,8.08,5.75,13.829999999999998,1,3.0,"[261.63669910440854, 241.9475919718303, 264.62034543617966]",[nan]
20180808_111213_024881.wav,2072000,2192000,2761,120000,600.0,1,600.0,0.19,0.0,0.19,0,1.0,[409.53173528366494],[]
20180808_111213_024881.wav,2202000,2322000,2761,120000,9790.0,12,815.8333333333334,0.0,0.0,0.0,0,12.0,"[335.9181469314461, 377.39021495424396, 357.6132050143575, 297.83735839534165, 334.0278072141919, 333.7958115809796, 324.9020709092722, 350.7563225764673, 321.25512984739777, 325.1826737278797, 293.4460281156356, 324.31284452403924]",[]
20180808_111213_024881.wav,5817000,5937000,2761,120000,1940.0,3,646.6666666666666,0.0,0.0,0.0,0,2.0,"[375.21069312786693, 512.2940051408225]",[502.913963139259]
20180808_111213_024881.wav,6837000,6957000,2761,120000,0.0,0,,0.0,0.0,0.0,0,0.0,[],[]
20180808_111213_024881.wav,7296000,7416000,2761,120000,0.0,0,,0.0,0.0,0.0,0,0.0,[],[]
20180808_111213_024881.wav,9384000,9504000,2761,120000,19030.0,19,1001.578947368421,8.1,0.0,8.1,2,20.0,"[554.7526035189591, 429.299984947429, 326.5174479165332, 347.1397988757622, 435.94370397883057, 301.10541502974604, 298.7553409193914, 274.5664624018419, 271.9432828839828, 278.16321984068884, 277.4466282531924, 222.8260708417853, 475.29794079017756, 318.75513390066783, 440.588156576677, 372.19366965233473, 412.19173603427265]","[534.1474398982733, 367.4640117637551]"
20180808_111213_024881.wav,14868000,14988000,2761,120000,9070.0,8,1133.75,34.88,0.0,34.879999999999995,2,7.0,"[614.91943165683, 485.09312403408745, 663.9891993782377, 345.4309794391964, 347.6804431467074, 273.8989204178017]","[527.1304131947478, 669.2485022567489]"
20180808_111213_024881.wav,16289000,16409000,2761,120000,4330.0,7,618.5714285714286,2.88,0.0,2.88,1,6.0,"[344.0864712545632, 303.37555487016925, 611.0338811884707, 443.2650527288638, 417.95046179117696, 365.10848039151153]",[444.6270072193536]
20180808_111213_024881.wav,18264000,18384000,2761,120000,1190.0,1,1190.0,0.0,0.0,0.0,0,1.0,[321.545567519693],[]
20180808_111213_024881.wav,28611000,28731000,2761,120000,0.0,0,,0.0,0.0,0.0,0,0.0,[],[]
20180808_111213_024881.wav,36581000,36701000,2761,120000,610.0,1,610.0,0.0,0.0,0.0,0,1.0,[334.0728133994272],[]
20180808_111213_024881.wav,39778000,39898000,2761,120000,710.0,1,710.0,0.0,0.0,0.0,0,1.0,[461.1256330920686],[]
20180808_111213_024881.wav,41905000,42025000,2761,120000,5680.0,8,710.0,15.38,0.0,15.38,1,10.0,"[nan, 326.1846312571049, 314.16320407030537, 325.2214012918247, 247.02939672572782, 290.3913273515164, 350.1869594640421, 310.2470657525226]",[]
20180808_111213_024881.wav,45308000,45428000,2761,120000,24960.0,23,1085.2173913043478,0.0,0.0,0.0,0,18.0,"[380.9088081313337, 449.705410248059, 348.48618813158646, 375.20312341533594, 434.83161491368026, 330.4492395187569, 415.2184028904792, 300.9688305930315, 380.94899886397445, 389.4665223497087, 396.9632775424499, 315.46788515042016, 281.4486581652338, 377.77715767699164]","[497.5766057338627, 412.59489904157283, 497.29794788397703, 541.3084713902123, 408.961768309705, 379.8055191250586, 480.19509649424225, 529.7406119732808, 367.70990351171554]"
20180809_181624_025481.wav,1639000,1759000,2781,120000,34760.0,24,1448.3333333333333,76.29,5.08,81.37,7,17.0,"[376.84586371889986, 399.5926114035235, 379.05525648767986, 365.19715013914777, 430.3310380037093, 367.91869971412547, 344.2922959495996, 484.2802172396412, 400.48507477695784, 520.4507763084733, 356.3485589389438, 381.22978885246795, 412.295651322309]","[408.99650371284656, 348.5029968287166, 258.58146819973695, 398.30971471935356, 436.4355882818601, 439.19712288912746, 453.39470852850974, 403.1825822378067, 395.90989563602074, 369.5863206516238, 477.50064173155545]"
20180809_181624_025481.wav,2072000,2192000,2781,120000,37000.0,24,1541.6666666666667,9.63,6.68,16.31,2,14.0,"[303.60947782026307, 311.6121809969541, 546.4574561238907, 659.3764978366679, 381.73468738770146, 532.3963430557694, 501.61665580421106, 512.0099198459671, 459.4919043307013, 328.4005713513246, 341.5028280691046, 341.0949837254217]","[360.06792697974504, 559.5206803227097, 414.61586070591085, 430.19153737891867, 351.6713270815773, 380.78358668288536, 402.7349091179835, 525.373038523453, 549.0690791114182, 509.6065482543638, 483.8468740709174, 449.64603202600586]"
20180809_181624_025481.wav,2202000,2322000,2781,120000,0.0,0,,0.0,0.0,0.0,0,0.0,[],[]
20180809_181624_025481.wav,5817000,5937000,2781,120000,2750.0,3,916.6666666666666,2.7,0.0,2.7,0,2.0,[385.79695780128804],"[562.7820411498154, 382.1630305792592]"
20180809_181624_025481.wav,6620000,6740000,2781,120000,770.0,1,770.0,1.26,0.0,1.26,1,1.0,[256.63870825204896],[]
20180809_181624_025481.wav,6837000,6957000,2781,120000,6230.0,9,692.2222222222222,75.78,13.45,89.22999999999999,5,7.0,"[315.0259974972513, 389.962594034552, 347.0718950774944, 341.6417247499605, 265.93525201818346, 454.11360156940117, 344.9339421885874]","[358.20044061281016, 487.50239398326335]"
20180809_181624_025481.wav,7296000,7416000,2781,120000,28210.0,29,972.7586206896552,123.54,15.97,139.51,11,24.0,"[380.15637494484866, 351.3566965971026, 296.21842735319973, 303.4194054299433, 340.22783359679363, 370.17095959073515, 237.5503883327994, 287.2778438910295, 508.64772046113575, 280.608212820277, 224.2612658613242, 341.22786197851354, 457.2360666986372, 437.14768829311, 271.69727135390866, 364.52696739306003, 297.58101945884584, 310.75844881825896, 368.31221357498026, 281.92595022217273]","[316.1375465297112, 644.8345670009759, 445.72151130637064, 311.50448248810966, 305.59218072209444, 461.3569519191648, 433.477880819046, 238.19971398510472, 372.33551787682825]"
20180809_181624_025481.wav,9384000,9504000,2781,120000,3430.0,5,686.0,8.33,6.96,15.29,0,1.0,[nan],"[442.54381231049524, 474.0509440016216, 505.5801190907906, 354.9556700788344]"
20180809_181624_025481.wav,14868000,14988000,2781,120000,20340.0,18,1130.0,46.99,0.0,46.99,1,11.0,"[357.9714057271167, 401.60585791900945, 417.3250177611888, 512.6149065791396, 331.9528497930894, 505.19740806326445, 415.48371578073477, 286.1273178797125, 491.5128934195474]","[448.24832858832286, 301.0068427478639, 449.9513819238399, 398.17909680436355, 487.11768091803714, 401.9231124609305, 614.6962145234015, 519.6170670805295, 497.2581506803418]"
20180809_181624_025481.wav,16289000,16409000,2781,120000,0.0,0,,0.0,0.0,0.0,0,0.0,[],[]
20180809_181624_025481.wav,18264000,18384000,2781,120000,0.0,0,,0.0,0.0,0.0,0,0.0,[],[]
20180809_181624_025481.wav,28611000,28731000,2781,120000,600.0,1,600.0,0.0,0.57,0.57,1,1.0,[327.6559039078262],[]
20180809_181624_025481.wav,36581000,36701000,2781,120000,18080.0,19,951.578947368421,6.26,0.0,6.26,0,8.0,"[580.9248143928451, 323.23189256613347, 474.63842933875645, 381.85964556389547, 411.7104369937481, 379.19714843796027, 425.5483356042092, 501.4201748091627]","[531.9283357289592, 397.5012257418922, 500.5380038123022, 372.5361155351248, 533.2463820560729, 446.9543463337612, 356.6209779893488, 412.9999182129742, 520.0419763169815, 478.1061062836766, 497.3684891885791]"
20180809_181624_025481.wav,39778000,39898000,2781,120000,30150.0,35,861.4285714285714,0.0,0.0,0.0,0,14.0,"[543.956568227051, 318.39465611329246, 334.88009274733474, 605.5717178350187, 572.4543510327247, 488.02037861916057, 534.976359247583, 526.6692838342199, 626.6166614472926, 345.3027711104832, 391.58368282878774, 545.7977413442276, 588.5738680301649, 518.9194703941077]","[404.34252738479455, 627.3748996989345, 444.493513234938, 575.4629020595767, 478.62172495069996, 573.9030465561884, 502.7388150413727, 626.9620381534969, 600.0168384974055, 430.1177047389863, 455.18867275124904, 440.6118900355799, 548.0203034587161, 602.0194851054806, 400.07481993024044, 595.9954446059972, 451.42975399819017, 556.7768273202312, 470.42996737882606, 553.3851939609814, 549.8031678292572]"
