recording_filename,segment_onset,segment_offset,child_id,duration_its,voc_dur_chi,voc_chi,avg_voc_dur_chi,wc_fem,wc_mal,wc_adu,5s_CTC,CVC
20230208_103250_043299_1.wav,14868000,14988000,7261,120000,11770.0,10,1177.0,0.0,0.0,0.0,0,9.0
20200414_130512_024879_2.wav,36581000,36701000,3941,120000,9060.0,8,1132.5,88.71000000000001,38.519999999999996,127.23,2,7.0
20181218_132113_024879.wav,18264000,18384000,3131,120000,24450.0,26,940.3846153846154,68.09,4.06,72.15,12,33.0
20220712_113417_045737_3.wav,16289000,16409000,7061,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20190307_091344_022872.wav,14868000,14988000,3951,120000,5450.0,7,778.5714285714286,19.380000000000003,0.0,19.380000000000003,0,2.0
20210127_103244_024879_1.wav,16289000,16409000,5461,120000,0.0,0,,173.89,4.1,177.99,0,0.0
20210624_093317_024883_2.wav,18264000,18384000,5851,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20230308_094400_045733_2.wav,36581000,36701000,7121,120000,610.0,1,610.0,0.0,0.0,0.0,0,0.0
20220720_091357_024879_1.wav,5817000,5937000,7051,120000,41940.0,30,1398.0,0.0,31.25,31.25,4,38.0
20211019_120823_045733_2.wav,9384000,9504000,6461,120000,3780.0,3,1260.0,3.91,0.0,3.91,0,5.0
20230405_090552_045738_2.wav,49225000,49345000,7281,120000,12010.0,13,923.8461538461538,36.76,3.35,40.11,2,7.0
20230425_114841_045738_2.wav,6837000,6957000,6212,120000,4430.0,5,886.0,6.9799999999999995,0.0,6.9799999999999995,0,4.0
20211022_110857_045737_2.wav,48958000,49078000,6161,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20220728_144904_024880_2.wav,18264000,18384000,7101,120000,0.0,0,,13.92,0.0,13.92,0,0.0
20181218_132113_024879.wav,1639000,1759000,3131,120000,19460.0,22,884.5454545454545,70.22999999999999,39.6,109.83000000000001,8,22.0
20191004_125707_025480_2.wav,3648000,3768000,4001,120000,1860.0,2,930.0,0.0,0.0,0.0,0,0.0
20200414_125938_024878_2.wav,14868000,14988000,4011,120000,0.0,0,,18.64,8.93,27.57,0,0.0
20230301_083834_024880_2.wav,18264000,18384000,6921,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20220731_113759_045737_2.wav,2072000,2192000,7131,120000,6800.0,7,971.4285714285714,20.43,305.34000000000003,325.77,3,4.0
20190307_114201_025481.wav,9384000,9504000,3891,120000,6830.0,7,975.7142857142857,6.24,0.0,6.24,1,4.0
20220829_105740_024880_2.wav,1639000,1759000,7171,120000,4230.0,4,1057.5,33.480000000000004,30.28,63.76,0,0.0
20181218_132113_024879.wav,14868000,14988000,3131,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20230308_093128_024882_2.wav,7296000,7416000,6761,120000,3170.0,4,792.5,196.28999999999996,14.3,210.59,4,4.0
20180809_181624_025481.wav,28611000,28731000,2781,120000,600.0,1,600.0,0.0,0.57,0.57,1,1.0
20201210_142957_025480_2.wav,5817000,5937000,5901,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20210318_114924_043305_2.wav,14868000,14988000,5181,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20201104_094551_024882_1.wav,18264000,18384000,3871,120000,1200.0,2,600.0,0.0,0.0,0.0,0,1.0
20220712_113417_045737_3.wav,18264000,18384000,7061,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20200312_145204_022874.wav,4812000,4932000,3931,120000,12180.0,10,1218.0,155.78,0.0,155.78,5,10.0
20210624_093317_024883_2.wav,9384000,9504000,5851,120000,8030.0,9,892.2222222222222,160.42000000000002,6.15,166.57000000000002,3,9.0
20230425_114841_045738_2.wav,2202000,2322000,6212,120000,0.0,0,,12.3,0.0,12.3,0,0.0
20190819_210318_025481_2.wav,1639000,1759000,3362,120000,14420.0,16,901.25,61.790000000000006,5.88,67.67000000000002,9,14.0
20220829_105740_024880_2.wav,28611000,28731000,7171,120000,610.0,1,610.0,0.0,0.0,0.0,0,0.0
