recording_filename,segment_onset,segment_offset,child_id,duration_alice,wc_fem,wc_mal,wc_adu,duration_vcm,non_can_voc_CHI,can_voc_CHI,can_voc_dur_CHI,duration_vtc,voc_dur_chi,voc_chi,avg_voc_dur_chi,5s_CTC
20191004_125707_025480_2.wav,9775000,9895000,4001,120000,84.80000000000001,0.0,84.80000000000001,120000,20,0,0.0,120000,35669.0,23,1550.8260869565217,23
20210504_102146_025480_2.wav,2202000,2322000,6261,120000,53.339999999999996,0.0,53.339999999999996,120000,2,0,0.0,120000,589.0,2,294.5,2
20230321_124603_024879_1.wav,6837000,6957000,7291,120000,118.07,41.33,159.39999999999998,120000,9,1,1075.0,120000,17967.0,11,1633.3636363636363,10
20210318_114924_043305_2.wav,2202000,2322000,5181,120000,62.529999999999994,0.0,62.529999999999994,120000,2,0,0.0,120000,1612.0,2,806.0,1
20230328_132555_045737_1.wav,5817000,5937000,6451,120000,99.91,5.95,105.86,120000,13,4,8395.0,120000,32907.0,18,1828.1666666666667,29
20230208_103250_043299_1.wav,7296000,7416000,7261,120000,99.83999999999999,0.0,99.83999999999999,120000,18,0,0.0,120000,25717.0,19,1353.5263157894738,16
20180530_181655_022873.wav,2072000,2192000,3321,120000,40.38,0.0,40.38,120000,16,1,2567.0,120000,39934.0,18,2218.5555555555557,9
20190828_145547_024884_2.wav,6620000,6740000,5061,120000,199.26,46.01,245.27,120000,19,1,1296.0,120000,22650.0,22,1029.5454545454545,30
20180906_133202_022870.wav,14868000,14988000,3461,120000,0.0,0.0,0.0,120000,10,0,0.0,120000,17070.0,11,1551.8181818181818,0
20230110_120835_024882_2.wav,5817000,5937000,7231,120000,65.86,19.919999999999998,85.78000000000002,120000,1,1,651.0,120000,1670.0,2,835.0,2
20180808_111213_024881.wav,7296000,7416000,2761,120000,76.14999999999999,0.0,76.14999999999999,120000,1,0,0.0,120000,643.0,1,643.0,1
20180809_181624_025481.wav,6620000,6740000,2781,120000,56.980000000000004,0.0,56.980000000000004,120000,2,0,0.0,120000,1060.0,2,530.0,2
20220711_142955_024883_2.wav,5817000,5937000,7011,120000,4.95,0.0,4.95,120000,11,1,1426.0,120000,22495.0,14,1606.7857142857142,4
20210127_103244_024879_1.wav,14868000,14988000,5461,120000,263.72,68.14,331.86,120000,0,0,0.0,120000,0.0,0,,0
20190307_091344_022872.wav,39778000,39898000,3951,120000,58.92,3.87,62.78999999999999,120000,5,0,0.0,120000,6259.0,5,1251.8,3
20210318_114924_043305_2.wav,39778000,39898000,5181,120000,39.14,164.34,203.48000000000002,120000,10,1,1240.0,120000,10700.0,12,891.6666666666666,17
20220726_115556_024883_2.wav,16289000,16409000,7111,120000,0.0,0.0,0.0,120000,0,0,0.0,120000,0.0,0,,0
20210624_093317_024883_2.wav,2202000,2322000,5851,120000,165.15,6.63,171.77999999999997,120000,11,3,6224.0,120000,23983.0,15,1598.8666666666666,22
20230425_114841_045738_2.wav,7296000,7416000,6212,120000,34.52,37.05,71.57000000000001,120000,7,0,0.0,120000,4156.0,7,593.7142857142857,8
20220712_113417_045737_3.wav,6837000,6957000,7061,120000,26.65,0.0,26.65,120000,11,1,1482.0,120000,32960.0,14,2354.285714285714,6
20230208_103250_043299_1.wav,16289000,16409000,7261,120000,8.459999999999999,0.0,8.459999999999999,120000,15,1,3826.0,120000,39852.0,17,2344.235294117647,7
20220726_115556_024883_2.wav,45308000,45428000,7111,120000,0.0,5.22,5.22,120000,0,0,0.0,120000,0.0,0,,0
20211022_110857_045737_2.wav,41905000,42025000,6161,120000,0.0,0.0,0.0,120000,0,0,0.0,120000,0.0,0,,0
20220829_105740_024880_2.wav,41905000,42025000,7171,120000,10.0,0.0,10.0,120000,17,2,8865.0,120000,62254.0,20,3112.7,7
20190618_135122_024883.wav,18264000,18384000,5011,120000,67.92,50.38,118.3,120000,8,1,810.0,120000,6292.0,9,699.1111111111111,10
20180809_181624_025481.wav,2072000,2192000,2781,120000,40.87,7.470000000000001,48.339999999999996,120000,9,5,14971.0,120000,60869.0,20,3043.45,16
20220731_113759_045737_2.wav,9384000,9504000,7131,120000,19.52,67.69,87.21,120000,2,0,0.0,120000,1557.0,2,778.5,0
20180808_110630_024879.wav,28611000,28731000,3501,120000,24.89,31.430000000000007,56.32,120000,7,2,6929.0,120000,74696.0,21,3556.9523809523807,21
20211019_120823_045733_2.wav,7296000,7416000,6461,120000,7.12,7.54,14.66,120000,7,0,0.0,120000,13476.0,7,1925.142857142857,2
20220805_082527_043300_2.wav,14868000,14988000,6981,120000,0.0,0.0,0.0,120000,0,0,0.0,120000,0.0,0,,0
20220829_105740_024880_2.wav,5817000,5937000,7171,120000,126.26999999999998,0.0,126.26999999999998,120000,1,0,0.0,120000,1242.0,1,1242.0,2
20230425_114841_045738_2.wav,39778000,39898000,6212,120000,8.87,0.0,8.87,120000,7,0,0.0,120000,7672.0,7,1096.0,0
20220711_142955_024883_2.wav,6837000,6957000,7011,120000,0.0,0.0,0.0,120000,4,0,0.0,120000,5311.0,4,1327.75,0
20200414_125938_024878_2.wav,6837000,6957000,4011,120000,12.17,117.06999999999998,129.24,120000,6,0,0.0,120000,12080.0,8,1510.0,11
20211103_114626_022870_1.wav,28611000,28731000,6382,120000,0.0,0.0,0.0,120000,0,0,0.0,120000,0.0,0,,0
20201104_094551_024882_1.wav,49860000,49980000,3871,120000,0.0,4.83,4.83,120000,0,0,0.0,120000,0.0,0,,0
20230425_114841_045738_2.wav,1639000,1759000,6212,120000,52.230000000000004,0.0,52.230000000000004,120000,3,0,0.0,120000,1878.0,3,626.0,4
20210318_114924_043305_2.wav,7296000,7416000,5181,120000,30.39,31.55,61.94,120000,13,1,1358.0,120000,11366.0,15,757.7333333333333,11
20220805_082527_043300_2.wav,36581000,36701000,6981,120000,186.69,2.74,189.43,120000,1,0,0.0,120000,2305.0,2,1152.5,2
20181218_132113_024879.wav,48958000,49078000,3131,120000,0.0,0.0,0.0,120000,0,0,0.0,120000,0.0,0,,0
20180808_110630_024879.wav,1639000,1759000,3501,120000,62.39,20.709999999999997,83.10000000000001,120000,8,4,5088.0,120000,10844.0,12,903.6666666666666,16
20190307_114201_025481.wav,1639000,1759000,3891,120000,62.84,62.46,125.29999999999998,120000,5,1,1981.0,120000,6845.0,6,1140.8333333333333,6
20190307_091344_022872.wav,5817000,5937000,3951,120000,112.60000000000001,2.77,115.37,120000,6,0,0.0,120000,11029.0,7,1575.5714285714287,9
20210414_211244_024882_1.wav,1639000,1759000,5371,120000,38.019999999999996,0.0,38.019999999999996,120000,5,1,2025.0,120000,9469.0,6,1578.1666666666667,2
20180808_111213_024881.wav,5817000,5937000,2761,120000,0.0,0.0,0.0,120000,2,0,0.0,120000,6539.0,2,3269.5,0
20211103_114626_022870_1.wav,6620000,6740000,6382,120000,29.9,80.93999999999998,110.84,120000,2,2,3065.0,120000,9995.0,5,1999.0,9
20200414_130512_024879_2.wav,14868000,14988000,3941,120000,158.70000000000002,3.98,162.68,120000,5,1,1455.0,120000,6901.0,6,1150.1666666666667,6
20230228_124411_043305_2.wav,39778000,39898000,7141,120000,0.0,0.0,0.0,120000,0,0,0.0,120000,0.0,0,,0
