segment_onset,segment_offset,speaker_type,vcm_type
715404,716511,CHI,N
717010,726011,NA,NA
717250,719100,FEM,NA
719361,720687,OCH,NA
719393,722555,CHI,C
720215,720492,FEM,NA
723004,724067,CHI,N
723035,724481,OCH,NA
724962,726012,FEM,NA
729493,732993,NA,NA
729992,733353,OCH,NA
730011,731817,FEM,NA
736511,736793,NA,NA
737512,739493,NA,NA
737600,737862,FEM,NA
740510,746030,NA,NA
740708,742159,FEM,NA
742340,744090,FEM,NA
743386,745862,OCH,NA
746434,746643,NA,NA
747993,756139,NA,NA
748011,751011,FEM,NA
748131,748890,OCH,NA
750992,751567,OCH,NA
751012,751512,CHI,N
751515,752011,FEM,NA
751690,752870,OCH,NA
753492,754624,FEM,NA
754993,756011,CHI,Y
757952,759511,NA,NA
758042,759247,FEM,NA
761621,762833,NA,NA
761729,762217,FEM,NA
762164,762679,CHI,N
763371,763493,NA,NA
765123,772899,NA,NA
765141,767468,FEM,NA
767576,768492,CHI,N
769441,772831,FEM,NA
776689,777992,NA,NA
776777,777992,FEM,NA
781306,785012,NA,NA
781449,782011,CHI,C
782447,784237,FEM,NA
782480,783199,OCH,NA
784507,785012,FEM,NA
790992,792637,OCH,NA
791103,796491,NA,NA
792492,793341,FEM,NA
792784,792992,OCH,NA
793279,794168,OCH,NA
793338,794011,CHI,N
794492,796368,FEM,NA
797774,800493,NA,NA
797793,800466,FEM,NA
803491,803717,NA,NA
804219,805772,NA,NA
804372,805511,OCH,NA
807661,810992,CHI,C
807722,811038,NA,NA
812513,818011,NA,NA
812729,816511,CHI,C
815630,817992,FEM,NA
819966,822492,NA,NA
820010,821213,CHI,N
820365,820765,OCH,NA
821510,822134,FEM,NA
827218,830817,NA,NA
827297,827753,FEM,NA
827992,830491,FEM,NA
832493,837010,NA,NA
832511,833962,OCH,NA
834781,835993,CHI,N
835512,836992,FEM,NA
838615,849064,NA,NA
838630,841492,FEM,NA
840993,841989,MAL,NA
842783,842898,MAL,NA
843510,847467,FEM,NA
847591,848857,CHI,N
851011,876214,NA,NA
851492,854575,FEM,NA
854712,855892,CHI,N
855640,857491,FEM,NA
857010,858900,CHI,N
858992,860745,FEM,NA
859493,860708,OCH,NA
860968,861964,CHI,C
861052,861452,OCH,NA
862010,863492,FEM,NA
863492,865782,CHI,C
864285,864403,OCH,NA
865510,871227,FEM,NA
871489,871992,FEM,NA
871493,872175,OCH,NA
872735,873778,OCH,NA
873059,875911,FEM,NA
876616,878762,NA,NA
876648,878621,FEM,NA
879054,879491,NA,NA
882993,886297,NA,NA
883011,886197,FEM,NA
891032,891493,OCH,NA
894512,896011,NA,NA
894991,895992,FEM,NA
898992,900087,NA,NA
898997,900011,CHI,N
901454,905492,NA,NA
901511,903884,OCH,NA
901550,902011,CHI,N
904179,905173,OCH,NA
905992,906345,NA,NA
911981,914993,NA,NA
911993,914344,FEM,NA
916780,918152,OCH,NA
916819,918010,NA,NA
918268,918984,OCH,NA
921167,921511,OCH,NA
921200,921440,NA,NA
926993,945213,NA,NA
926999,941112,CHI,Y
942491,943563,CHI,C
944009,944699,FEM,NA
945456,951678,NA,NA
945540,947319,OCH,NA
946524,947202,CHI,N
947201,951570,FEM,NA
952493,972119,NA,NA
952493,954992,CHI,N
955886,960020,CHI,C
960098,963492,FEM,NA
963993,965036,CHI,N
965250,965945,FEM,NA
966155,968744,CHI,N
968618,969511,FEM,NA
969435,971851,CHI,N
972295,972492,NA,NA
972930,974702,NA,NA
972992,974663,CHI,N
975291,981327,NA,NA
975326,979449,CHI,C
979639,981296,FEM,NA
983696,983797,FEM,NA
983966,984116,FEM,NA
985993,990492,NA,NA
986011,990010,FEM,NA
993492,1002491,NA,NA
993511,994610,FEM,NA
993718,994268,CHI,N
995051,998510,FEM,NA
995139,995510,CHI,N
999074,1000492,CHI,N
999267,999665,OCH,NA
1000357,1002492,FEM,NA
1003335,1007512,FEM,NA
1003381,1007514,NA,NA
1022676,1024141,FEM,NA
1022682,1024120,NA,NA
1024512,1028511,FEM,NA
1024512,1028748,NA,NA
1033705,1036010,NA,NA
1033844,1035992,FEM,NA
1043493,1044993,FEM,NA
1043493,1045000,NA,NA
1046883,1052730,NA,NA
1047001,1048012,FEM,NA
1047492,1048511,OCH,NA
1048260,1048403,CHI,N
1048444,1048775,FEM,NA
