segment_onset,segment_offset,speaker_type,vcm_type
1049703,1049840,NA,NA
1052717,1054521,MAL,NA
1052936,1054244,NA,NA
1072011,1076135,MAL,NA
1072560,1076370,NA,NA
1079857,1083085,NA,NA
1079911,1082778,FEM,NA
1082155,1082697,MAL,NA
1084006,1085641,NA,NA
1084492,1084674,OCH,NA
1085979,1090393,NA,NA
1086254,1086492,OCH,NA
1087572,1088011,CHI,N
1088108,1090045,FEM,NA
1091011,1111011,NA,NA
1091095,1094510,FEM,NA
1091772,1091949,MAL,NA
1094803,1103953,MAL,NA
1096011,1096419,FEM,NA
1097012,1098008,FEM,NA
1102493,1105492,FEM,NA
1104685,1107010,MAL,NA
1107511,1110491,FEM,NA
1108991,1109512,MAL,NA
1109992,1110724,CHI,N
1111199,1111493,NA,NA
1112663,1112833,MAL,NA
1114585,1115930,MAL,NA
1115130,1115562,NA,NA
1116678,1117064,NA,NA
1117591,1117726,NA,NA
1118289,1118412,MAL,NA
1119511,1120760,FEM,NA
1119511,1120871,NA,NA
1120974,1121237,NA,NA
1121821,1123510,NA,NA
1122012,1124489,MAL,NA
1126038,1126217,NA,NA
1126511,1128285,NA,NA
1127491,1127992,OCH,NA
1127512,1128011,FEM,NA
1129992,1131011,NA,NA
1129997,1131190,OCH,NA
1133992,1136511,MAL,NA
1134478,1136203,NA,NA
1137107,1137784,MAL,NA
1137227,1143493,NA,NA
1137902,1138054,MAL,NA
1138116,1138904,FEM,NA
1139012,1148492,OCH,NA
1143769,1143987,NA,NA
1144822,1148492,NA,NA
1149491,1149645,OCH,NA
1149908,1150576,OCH,NA
1150009,1150698,NA,NA
1151661,1156678,NA,NA
1152736,1154992,FEM,NA
1154512,1155190,MAL,NA
1155423,1156511,FEM,NA
1155512,1156413,OCH,NA
1157061,1165429,NA,NA
1158602,1160511,MAL,NA
1159059,1162584,FEM,NA
1162895,1164512,FEM,NA
1163492,1164391,MAL,NA
1165011,1168511,MAL,NA
1165556,1168992,NA,NA
1168082,1168521,FEM,NA
1170011,1175011,NA,NA
1170170,1174932,MAL,NA
1172651,1173741,FEM,NA
1174190,1174325,FEM,NA
1178012,1197887,NA,NA
1178106,1178997,MAL,NA
1178477,1180657,FEM,NA
1179557,1187404,MAL,NA
1180828,1180992,FEM,NA
1181993,1182992,FEM,NA
1187487,1188997,FEM,NA
1189991,1194697,FEM,NA
1190221,1191490,MAL,NA
1194873,1195011,FEM,NA
1194976,1198103,MAL,NA
1198586,1199016,OCH,NA
1200621,1201229,NA,NA
1200747,1200987,MAL,NA
1201669,1205712,NA,NA
1202992,1205587,MAL,NA
1206122,1207941,MAL,NA
1206188,1211510,NA,NA
1208993,1210996,OCH,NA
1210511,1211024,CHI,N
1211677,1213521,MAL,NA
1211730,1213183,NA,NA
1213878,1214025,MAL,NA
1213908,1214159,NA,NA
1214804,1217511,NA,NA
1215564,1215797,MAL,NA
1215992,1216184,MAL,NA
1215992,1217283,FEM,NA
1217791,1217978,NA,NA
1217818,1217961,MAL,NA
1219480,1221356,NA,NA
1219492,1220511,FEM,NA
1222464,1227493,NA,NA
1222493,1227012,FEM,NA
1225992,1226876,MAL,NA
1229659,1231343,MAL,NA
1230537,1231028,NA,NA
1231728,1238115,NA,NA
1232493,1232976,OCH,NA
1233011,1235374,FEM,NA
1235010,1240984,MAL,NA
1238350,1240984,NA,NA
1241492,1245026,NA,NA
1241887,1243002,FEM,NA
1242511,1244511,MAL,NA
1245221,1245326,NA,NA
1246671,1250993,NA,NA
1247012,1247871,MAL,NA
1247511,1247730,FEM,NA
1248510,1250741,FEM,NA
1249025,1249477,MAL,NA
1252481,1253097,MAL,NA
1253991,1264992,NA,NA
1254143,1254992,MAL,NA
1255157,1264688,FEM,NA
1257576,1257993,CHI,N
1262002,1262993,CHI,N
1267512,1282732,NA,NA
1267993,1269011,MAL,NA
1267993,1269063,FEM,NA
1270011,1279868,FEM,NA
1272881,1273737,MAL,NA
1275215,1275490,MAL,NA
1275780,1275896,MAL,NA
1280725,1281489,MAL,NA
1281012,1281331,FEM,NA
1281992,1282105,OCH,NA
1290011,1293011,MAL,NA
1290823,1293012,NA,NA
1300151,1302983,MAL,NA
