segment_onset,segment_offset,speaker_type,phonemes,syllables,words,raw_filename
37000493,37001492,FEM,12.88,6.08,3.91,20181115_130044_024882.txt
37001011,37003986,MAL,31.2,15.76,10.19,20181115_130044_024882.txt
37005773,37008510,MAL,26.37,13.44,8.8,20181115_130044_024882.txt
37012493,37015411,MAL,29.5,15.14,9.82,20181115_130044_024882.txt
37015993,37017493,FEM,13.63,6.42,4.3,20181115_130044_024882.txt
37018384,37021219,FEM,26.59,13.47,8.84,20181115_130044_024882.txt
37024992,37026104,MAL,13.53,6.49,4.25,20181115_130044_024882.txt
37027493,37030510,MAL,31.49,16.06,10.4,20181115_130044_024882.txt
37032314,37032815,MAL,10.68,5.17,3.25,20181115_130044_024882.txt
37033205,37034012,MAL,13.03,6.37,4.03,20181115_130044_024882.txt
37040505,37041511,FEM,13.41,6.52,4.19,20181115_130044_024882.txt
37045492,37047181,FEM,17.21,8.51,5.57,20181115_130044_024882.txt
37056511,37056727,MAL,9.63,4.66,2.85,20181115_130044_024882.txt
37056835,37057593,MAL,12.23,6.02,3.81,20181115_130044_024882.txt
37061218,37062247,MAL,14.0,6.84,4.39,20181115_130044_024882.txt
37073324,37075027,FEM,13.59,6.27,4.37,20181115_130044_024882.txt
37075011,37076086,MAL,13.3,6.31,4.17,20181115_130044_024882.txt
37078266,37079682,MAL,15.24,7.27,4.87,20181115_130044_024882.txt
37081992,37084010,MAL,18.67,9.03,6.12,20181115_130044_024882.txt
37087399,37089011,MAL,18.89,9.47,6.07,20181115_130044_024882.txt
37094593,37096652,MAL,20.18,10.13,6.62,20181115_130044_024882.txt
37102992,37113512,MAL,111.17,57.73,36.99,20181115_130044_024882.txt
37114705,37117012,MAL,24.96,12.7,8.15,20181115_130044_024882.txt
37126011,37128991,MAL,26.68,13.21,8.89,20181115_130044_024882.txt
37129511,37133914,MAL,39.83,20.41,13.56,20181115_130044_024882.txt
37133492,37135713,FEM,21.66,10.72,7.09,20181115_130044_024882.txt
37135511,37138788,MAL,30.7,15.51,10.33,20181115_130044_024882.txt
37138655,37141492,FEM,26.27,13.14,8.73,20181115_130044_024882.txt
37142908,37143122,MAL,9.92,4.82,2.95,20181115_130044_024882.txt
37145993,37146594,FEM,11.07,5.34,3.34,20181115_130044_024882.txt
37152965,37153416,MAL,10.92,5.36,3.32,20181115_130044_024882.txt
37152992,37155010,FEM,22.22,11.04,7.14,20181115_130044_024882.txt
37183696,37185011,MAL,14.65,7.1,4.66,20181115_130044_024882.txt
37191228,37192359,FEM,14.46,7.08,4.56,20181115_130044_024882.txt
37206098,37207510,FEM,13.73,6.45,4.37,20181115_130044_024882.txt
37225840,37226009,MAL,4.63,1.87,1.18,20181115_130044_024882.txt
37240179,37240996,MAL,10.18,4.86,3.14,20181115_130044_024882.txt
37252185,37254261,MAL,21.09,10.6,6.93,20181115_130044_024882.txt
37255130,37255662,MAL,10.29,4.9,3.12,20181115_130044_024882.txt
37256136,37256926,MAL,10.27,4.89,3.16,20181115_130044_024882.txt
37259511,37261725,MAL,25.68,13.12,8.43,20181115_130044_024882.txt
37261492,37263492,FEM,17.51,8.38,5.72,20181115_130044_024882.txt
37266991,37275169,FEM,68.47,35.71,23.75,20181115_130044_024882.txt
37313539,37313897,MAL,10.42,5.07,3.14,20181115_130044_024882.txt
37328258,37328778,FEM,6.77,3.01,1.95,20181115_130044_024882.txt
37330991,37331102,MAL,12.29,6.15,3.72,20181115_130044_024882.txt
37341511,37341936,FEM,6.2,2.72,1.75,20181115_130044_024882.txt
37341528,37341946,MAL,6.25,2.75,1.76,20181115_130044_024882.txt
37343492,37344526,FEM,10.15,4.72,3.11,20181115_130044_024882.txt
37347991,37349758,FEM,17.44,8.63,5.66,20181115_130044_024882.txt
37355437,37357052,FEM,17.27,8.1,5.32,20181115_130044_024882.txt
37358516,37361883,FEM,28.53,14.42,9.63,20181115_130044_024882.txt
37392837,37394047,FEM,14.9,7.13,4.67,20181115_130044_024882.txt
37394487,37394992,FEM,8.09,3.7,2.39,20181115_130044_024882.txt
37401836,37403881,FEM,22.37,10.99,7.09,20181115_130044_024882.txt
37408083,37408296,FEM,5.19,2.16,1.37,20181115_130044_024882.txt
37417403,37418670,FEM,9.4,4.1,2.95,20181115_130044_024882.txt
37418910,37420010,FEM,10.59,4.71,3.22,20181115_130044_024882.txt
37420373,37420478,FEM,7.89,3.71,2.25,20181115_130044_024882.txt
37422575,37422902,FEM,6.2,2.7,1.73,20181115_130044_024882.txt
37426492,37427013,FEM,5.78,2.42,1.62,20181115_130044_024882.txt
37428492,37430450,FEM,16.94,8.25,5.47,20181115_130044_024882.txt
37432778,37432992,FEM,6.03,2.65,1.65,20181115_130044_024882.txt
37440114,37442512,FEM,20.1,9.95,6.66,20181115_130044_024882.txt
37443808,37443936,MAL,8.39,3.99,2.42,20181115_130044_024882.txt
37446177,37447512,MAL,15.59,7.63,4.98,20181115_130044_024882.txt
37448664,37448829,FEM,7.76,3.61,2.22,20181115_130044_024882.txt
37448965,37450529,FEM,15.97,7.76,5.14,20181115_130044_024882.txt
37454493,37456754,FEM,18.79,9.1,6.14,20181115_130044_024882.txt
37468070,37471011,FEM,21.15,9.89,7.09,20181115_130044_024882.txt
37473204,37475992,FEM,23.37,11.4,7.81,20181115_130044_024882.txt
37476493,37477414,MAL,12.23,5.95,3.84,20181115_130044_024882.txt
37485340,37485683,MAL,9.48,4.46,2.82,20181115_130044_024882.txt
37491491,37494021,MAL,24.76,12.51,8.28,20181115_130044_024882.txt
37494711,37494849,MAL,12.02,5.99,3.63,20181115_130044_024882.txt
37496512,37497028,MAL,11.77,5.73,3.56,20181115_130044_024882.txt
37502511,37503010,FEM,8.64,3.96,2.57,20181115_130044_024882.txt
37503960,37504235,MAL,11.58,5.72,3.51,20181115_130044_024882.txt
37508268,37513992,MAL,56.49,28.76,18.86,20181115_130044_024882.txt
37514759,37514904,MAL,11.69,5.81,3.53,20181115_130044_024882.txt
37516012,37516410,MAL,11.61,5.73,3.54,20181115_130044_024882.txt
37531625,37532204,MAL,11.01,5.32,3.37,20181115_130044_024882.txt
37534690,37534990,MAL,10.56,5.07,3.18,20181115_130044_024882.txt
37537493,37538512,MAL,14.94,7.29,4.7,20181115_130044_024882.txt
37541674,37542541,MAL,13.61,6.55,4.23,20181115_130044_024882.txt
37552493,37554012,MAL,13.89,6.19,4.44,20181115_130044_024882.txt
