segment_onset,segment_offset,speaker_type,phonemes,syllables,words,raw_filename
41585525,41585753,MAL,8.04,3.74,2.32,20220624_140959_025480_2.txt
41589437,41589641,MAL,8.49,3.97,2.47,20220624_140959_025480_2.txt
41593011,41595512,FEM,20.51,9.9,6.76,20220624_140959_025480_2.txt
41595044,41595351,MAL,5.1,2.1,1.36,20220624_140959_025480_2.txt
41595512,41597512,MAL,14.83,6.78,4.83,20220624_140959_025480_2.txt
41595672,41595824,FEM,6.95,3.15,1.95,20220624_140959_025480_2.txt
41599511,41601011,FEM,14.71,6.75,4.66,20220624_140959_025480_2.txt
41616492,41619492,FEM,27.9,13.34,8.99,20220624_140959_025480_2.txt
41620740,41621511,MAL,12.25,5.84,3.77,20220624_140959_025480_2.txt
41623828,41624022,MAL,9.5,4.58,2.8,20220624_140959_025480_2.txt
41624969,41625698,FEM,9.93,4.66,2.99,20220624_140959_025480_2.txt
41631148,41631990,MAL,6.59,2.56,1.94,20220624_140959_025480_2.txt
41631708,41631878,FEM,9.52,4.57,2.81,20220624_140959_025480_2.txt
41637193,41637399,MAL,6.42,2.8,1.78,20220624_140959_025480_2.txt
41638166,41638466,FEM,5.56,2.25,1.51,20220624_140959_025480_2.txt
41641493,41642512,FEM,8.99,3.86,2.72,20220624_140959_025480_2.txt
41645492,41648992,FEM,24.3,11.29,8.13,20220624_140959_025480_2.txt
41649080,41651525,MAL,20.09,9.47,6.56,20220624_140959_025480_2.txt
41654569,41654744,MAL,5.94,2.6,1.62,20220624_140959_025480_2.txt
41655431,41655795,FEM,6.83,2.96,1.94,20220624_140959_025480_2.txt
41656012,41657511,FEM,12.54,5.43,3.93,20220624_140959_025480_2.txt
41658653,41659986,MAL,11.61,5.15,3.6,20220624_140959_025480_2.txt
41662632,41663012,MAL,5.11,2.0,1.37,20220624_140959_025480_2.txt
41663170,41663411,MAL,4.54,1.73,1.16,20220624_140959_025480_2.txt
41665511,41667602,MAL,15.2,6.71,4.92,20220624_140959_025480_2.txt
41669038,41669993,FEM,11.65,5.44,3.6,20220624_140959_025480_2.txt
41672489,41672859,FEM,5.61,2.36,1.54,20220624_140959_025480_2.txt
41673013,41673857,MAL,11.09,5.17,3.39,20220624_140959_025480_2.txt
41678807,41679663,FEM,12.22,5.7,3.77,20220624_140959_025480_2.txt
41681993,41683237,FEM,13.06,6.19,4.01,20220624_140959_025480_2.txt
41683997,41684410,FEM,4.18,1.53,1.07,20220624_140959_025480_2.txt
41684993,41688562,FEM,27.91,13.8,9.45,20220624_140959_025480_2.txt
